部位,"协议名称
ProtocolName","年龄组
AgeGroup",解剖区域,组织,病患体型(kg),扫描类型,"扫描长度
（mm）","定位像FOV
(mm)",准直,螺距,"旋转时间
(s)",Kv,mAs ,mA,扫描增量,周期/扫描次数,DOM,"CTDIvol
（mGy）",CTDI模体尺寸（cm）,"DLP
(mGy*cm)","剂量通知CTDIvol值
(mGy)","重建FOV
(mm)","层厚
(mm)","重建增量
(mm)",滤波器,"矩阵
Matrix","窗宽
WindowWidth","窗位
WindowCenter","X坐标
X_Center","Y坐标
Y_Center","金属化
MetalReduction",mARef,AF,"原厂/自定义
origin/custom"
头部,脑部螺旋,成人,脑部,软组织,50-90,螺旋,165.0,500.0,32×0.6,0.5,1.0,120.0,430.0,215.0,N/A,N/A,0.0,59.4,16.0,1168.5,80.0,250.0,5.0,5.0,Brain,512.0,100.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,脑部螺旋,成人,脑部,骨骼,50-90,螺旋,165.0,500.0,32×0.6,0.5,1.0,120.0,430.0,215.0,N/A,N/A,0.0,59.4,16.0,1168.5,80.0,250.0,5.0,5.0,Bone2,512.0,3500.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,脑部轴位2D,成人,脑部,软组织,50-90,断层,173.0,500.0,32×0.6,N/A,2.0,120.0,400.0,200.0,19.2,9.0,0.0,55.2,16.0,954.96,80.0,250.0,2.4,2.4,Brain,512.0,100.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,脑部轴位2D,成人,脑部,骨骼,50-90,断层,173.0,500.0,32×0.6,N/A,2.0,120.0,400.0,200.0,19.2,9.0,0.0,55.2,16.0,954.96,80.0,250.0,2.4,2.4,Bone2,512.0,3500.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,脑部轴位4.5mm,成人,脑部,软组织,50-90,断层,173.0,500.0,32×0.6,N/A,2.0,120.0,400.0,200.0,19.2,9.0,0.0,55.2,16.0,954.96,80.0,250.0,4.8,4.8,Brain,512.0,100.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,脑部轴位4.5mm,成人,脑部,骨骼,50-90,断层,173.0,500.0,32×0.6,N/A,2.0,120.0,400.0,200.0,19.2,9.0,0.0,55.2,16.0,954.96,80.0,250.0,4.8,4.8,Bone2,512.0,3500.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,窦静脉/面部/眼眶ST,成人,鼻窦,软组织,50-90,螺旋,98.0,500.0,32×0.6,1.3,1.0,120.0,223.0,290.0,N/A,N/A,1.0,35.0,16.0,343.0,80.0,220.0,2.0,2.0,S2,512.0,400.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,窦静脉/面部/眼眶骨骼,成人,鼻窦,骨骼,50-90,螺旋,98.0,500.0,32×0.6,1.3,1.0,120.0,223.0,290.0,N/A,N/A,1.0,35.0,16.0,343.0,80.0,220.0,2.0,2.0,Bone2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,牙齿,成人,上颌骨,骨骼,50-90,螺旋,98.0,500.0,32×0.6,0.6,1.0,120.0,217.0,130.0,N/A,N/A,0.0,29.9,16.0,293.02,80.0,200.0,1.0,1.0,Bone2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,IAC,成人,IAC,骨骼,50-90,螺旋,48.0,500.0,32×0.6,0.6,1.0,120.0,333.0,200.0,N/A,N/A,0.0,46.0,16.0,220.8,80.0,200.0,1.0,1.0,Bone2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
