Part,ProtocolName,Age Group,Anatomical region,Density,"Patient weight
(kg)",Scan type,"length
（mm）","Surview FOV
(mm)",Collimation,Pitch,"Rot time
(s)",Kv,mAs ,mA,"Increment
(mm)",cycles,DOM,"CTDIvol
（mGy）",CTDI phantom size（cm）,"DLP
(mGy*cm)","Dose report CTDIvol value
(mGy)","Dose report DLP value
(mGy*cm)"," Recon FOV
(mm)","Slice thickness
(mm)","Image increment
(mm)",Filter,Matrix,WindowWidth,WindowCenter,X_Center,Y_Center,MetalReduction,mARef,AF,origin/custom
Head,Brain,Adult,Brain,ST,50-90,Helical,165.0,500.0,32×0.6,0.5,1.0,120.0,430.0,215.0,N/A,N/A,0.0,59.4,16.0,1168.5,80.0,1320.0,250.0,5.0,5.0,Brain2,512.0,100.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,Brain_B,Adult,Brain,Bone,50-90,Helical,165.0,500.0,32×0.6,0.5,1.0,120.0,430.0,215.0,N/A,N/A,0.0,59.4,16.0,1168.5,80.0,1320.0,250.0,5.0,5.0,Bone2,512.0,3500.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,Brain AX_2.4,Adult,Brain,ST,50-90,Axial,173.0,500.0,32×0.6,N/A,2.0,120.0,400.0,200.0,19.2,9.0,0.0,55.2,16.0,955.0,80.0,1390.0,250.0,2.4,2.4,Brain2,512.0,100.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,Brain_B AX_2.4,Adult,Brain,Bone,50-90,Axial,173.0,500.0,32×0.6,N/A,2.0,120.0,400.0,200.0,19.2,9.0,0.0,55.2,16.0,955.0,80.0,1390.0,250.0,2.4,2.4,Bone2,512.0,3500.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,Brain_AX_4.5,Adult,Brain,ST,50-90,Axial,173.0,500.0,32×0.6,N/A,2.0,120.0,400.0,200.0,19.2,9.0,0.0,55.2,16.0,955.0,80.0,1390.0,250.0,4.8,4.8,Brain2,512.0,100.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,Brain_B_AX_4.5,Adult,Brain,Bone,50-90,Axial,173.0,500.0,32×0.6,N/A,2.0,120.0,400.0,200.0,19.2,9.0,0.0,55.2,16.0,955.0,80.0,1390.0,250.0,4.8,4.8,Bone2,512.0,3500.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,S/F/O,Adult,Sinuses,ST,50-90,Helical,98.0,500.0,32×0.6,1.3,1.0,120.0,223.0,290.0,N/A,N/A,1.0,35.0,16.0,343.0,80.0,790.0,220.0,2.0,2.0,S2,512.0,400.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,S/F/O_B,Adult,Sinuses,Bone,50-90,Helical,98.0,500.0,32×0.6,1.3,1.0,120.0,223.0,290.0,N/A,N/A,1.0,35.0,16.0,343.0,80.0,790.0,220.0,2.0,2.0,Bone2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,Dental,Adult,Maxilla,Bone,50-90,Helical,98.0,500.0,32×0.6,0.6,1.0,120.0,217.0,130.0,N/A,N/A,0.0,29.9,16.0,293.0,80.0,790.0,200.0,0.6,0.6,Bone2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,IAC,Adult,IAC,Bone,50-90,Helical,48.0,500.0,32×0.6,0.6,1.0,120.0,333.0,200.0,N/A,N/A,0.0,46.0,16.0,220.8,80.0,390.0,200.0,1.0,1.0,Bone2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,IAC0-6yrs,Child,IAC,Bone,20-30,Helical,48.0,500.0,32×0.6,0.6,1.0,120.0,258.0,155.0,N/A,N/A,0.0,35.7,16.0,171.4,60.0,290.0,200.0,1.0,1.0,Bone2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
